iter	Passed	Remaining
0	158	158410
1	176	88043
2	189	63094
3	199	49730
4	209	41727
5	219	36337
6	228	32403
7	237	29425
8	246	27117
9	254	25241
10	263	23679
11	272	22435
12	281	21371
13	290	20448
14	299	19684
15	308	19003
16	317	18373
17	326	17804
18	335	17307
19	343	16847
20	352	16435
21	361	16061
22	370	15717
23	379	15420
24	388	15150
25	397	14909
26	406	14659
27	415	14422
28	424	14209
29	434	14049
30	442	13845
31	451	13663
32	460	13497
33	469	13341
34	478	13190
35	487	13043
36	496	12918
37	505	12789
38	515	12699
39	525	12603
40	534	12493
41	544	12422
42	553	12324
43	562	12216
44	570	12113
45	580	12031
46	589	11953
47	598	11876
48	607	11797
49	617	11735
50	626	11652
51	635	11588
52	647	11562
53	655	11484
54	664	11421
55	673	11357
56	683	11306
57	692	11246
58	700	11179
59	709	11120
60	719	11068
61	728	11014
62	736	10955
63	745	10906
64	755	10864
65	764	10817
66	773	10772
67	783	10734
68	792	10689
69	801	10648
70	810	10608
71	819	10563
72	829	10527
73	837	10478
74	846	10436
75	854	10392
76	863	10355
77	873	10325
78	882	10292
79	891	10253
80	900	10213
81	909	10181
82	918	10146
83	926	10108
84	936	10079
85	944	10040
86	953	10005
87	962	9970
88	970	9935
89	979	9899
90	988	9873
91	998	9849
92	1007	9822
93	1016	9795
94	1025	9768
95	1034	9742
96	1043	9711
97	1051	9677
98	1060	9653
99	1069	9625
100	1079	9604
101	1089	9589
102	1102	9604
103	1111	9578
104	1120	9550
105	1128	9519
106	1137	9491
107	1145	9460
108	1154	9435
109	1163	9412
110	1172	9390
111	1181	9365
112	1190	9342
113	1198	9317
114	1209	9305
115	1217	9278
116	1226	9256
117	1236	9240
118	1244	9214
119	1253	9193
120	1262	9173
121	1271	9149
122	1280	9133
123	1289	9112
124	1298	9090
125	1307	9071
126	1316	9046
127	1325	9029
128	1334	9009
129	1342	8986
130	1351	8966
131	1360	8944
132	1369	8927
133	1378	8906
134	1387	8888
135	1396	8870
136	1405	8853
137	1414	8834
138	1423	8815
139	1432	8801
140	1441	8781
141	1450	8764
142	1460	8754
143	1469	8735
144	1478	8719
145	1487	8701
146	1496	8685
147	1506	8672
148	1515	8654
149	1525	8641
150	1533	8624
151	1542	8606
152	1551	8588
153	1559	8569
154	1569	8555
155	1577	8536
156	1587	8524
157	1597	8512
158	1606	8497
159	1615	8483
160	1625	8470
161	1635	8458
162	1643	8440
163	1652	8423
164	1661	8410
165	1671	8395
166	1680	8382
167	1690	8373
168	1699	8355
169	1708	8339
170	1716	8322
171	1725	8306
172	1734	8291
173	1743	8276
174	1753	8264
175	1761	8248
176	1770	8233
177	1779	8219
178	1788	8203
179	1798	8193
180	1806	8176
181	1815	8160
182	1824	8145
183	1833	8131
184	1842	8115
185	1851	8101
186	1861	8091
187	1870	8078
188	1878	8062
189	1887	8047
190	1896	8031
191	1904	8016
192	1914	8003
193	1924	7996
194	1933	7982
195	1942	7967
196	1951	7954
197	1960	7942
198	1970	7930
199	1979	7917
200	1988	7906
201	1997	7892
202	2007	7880
203	2016	7867
204	2025	7855
205	2035	7844
206	2043	7830
207	2052	7816
208	2062	7805
209	2070	7790
210	2079	7775
211	2087	7760
212	2096	7747
213	2105	7733
214	2116	7726
215	2124	7712
216	2133	7698
217	2142	7684
218	2150	7670
219	2161	7661
220	2170	7649
221	2180	7640
222	2189	7627
223	2198	7615
224	2207	7604
225	2216	7590
226	2224	7576
227	2233	7562
228	2241	7547
229	2250	7535
230	2261	7528
231	2271	7519
232	2281	7509
233	2290	7496
234	2299	7485
235	2308	7472
236	2317	7461
237	2326	7449
238	2334	7433
239	2343	7421
240	2352	7409
241	2361	7396
242	2370	7385
243	2381	7378
244	2389	7364
245	2398	7351
246	2407	7340
247	2417	7331
248	2426	7319
249	2435	7305
250	2443	7292
251	2452	7280
252	2461	7268
253	2470	7255
254	2479	7242
255	2487	7229
256	2496	7216
257	2505	7204
258	2513	7191
259	2524	7186
260	2533	7172
261	2542	7160
262	2551	7149
263	2559	7136
264	2568	7125
265	2577	7112
266	2586	7101
267	2596	7091
268	2605	7081
269	2616	7073
270	2625	7061
271	2633	7048
272	2642	7037
273	2651	7026
274	2661	7016
275	2669	7003
276	2679	6994
277	2688	6983
278	2698	6972
279	2706	6959
280	2716	6949
281	2725	6938
282	2734	6928
283	2744	6918
284	2754	6909
285	2763	6899
286	2773	6889
287	2782	6877
288	2790	6866
289	2800	6856
290	2808	6843
291	2818	6833
292	2826	6821
293	2838	6815
294	2849	6809
295	2860	6802
296	2871	6795
297	2880	6785
298	2889	6775
299	2898	6764
300	2908	6753
301	2917	6743
302	2926	6731
303	2934	6718
304	2943	6707
305	2952	6695
306	2961	6684
307	2970	6672
308	2978	6661
309	2987	6650
310	2997	6641
311	3006	6629
312	3015	6618
313	3024	6607
314	3032	6595
315	3042	6584
316	3051	6573
317	3059	6561
318	3068	6551
319	3077	6540
320	3086	6528
321	3095	6517
322	3105	6508
323	3114	6497
324	3123	6486
325	3131	6473
326	3140	6463
327	3149	6453
328	3158	6442
329	3167	6430
330	3176	6420
331	3187	6413
332	3198	6406
333	3207	6395
334	3216	6385
335	3225	6373
336	3234	6362
337	3242	6350
338	3253	6342
339	3263	6334
340	3272	6324
341	3281	6314
342	3291	6304
343	3299	6292
344	3309	6282
345	3319	6273
346	3327	6261
347	3337	6252
348	3345	6241
349	3355	6230
350	3364	6220
351	3373	6210
352	3383	6200
353	3392	6190
354	3401	6179
355	3410	6169
356	3419	6159
357	3428	6148
358	3437	6137
359	3446	6126
360	3455	6116
361	3464	6105
362	3473	6095
363	3482	6085
364	3492	6075
365	3501	6064
366	3510	6054
367	3519	6044
368	3527	6032
369	3537	6022
370	3547	6014
371	3555	6002
372	3565	5992
